Timestamp,Symbol,Entry,SL,TP1,TP2,R_R,Action,Strategy,Reason,OptionStrategy,OptionReason
2026-02-03T20:11:47.852781,NIO,4.45,4.40,4.50,4.84,1.00:1,🚀 STRONG BUY,Mean Reversion (Hunt),Low %B (RVI>Sig),Bull put spread,Mean reversion zóna (%B<30)
2026-02-03T20:11:52.197221,NIO,4.45,4.40,4.50,4.84,1.00:1,🚀 STRONG BUY,Mean Reversion (Hunt),Low %B (RVI>Sig),Bull put spread,Mean reversion zóna (%B<30)
2026-02-04T16:32:00.160276,ADBE,266.76,255.14,275.76,280.51,0.77:1,⏳ SLEDOVAŤ AKUMULÁCIU,Mean Reversion (Hunt),Low %B,Bull put spread,Mean reversion zóna (%B<30)
2026-02-04T16:34:46.064916,OTEX,22.45,21.17,23.41,24.09,0.75:1,🚀 STRONG BUY,Mean Reversion (Hunt),Low %B (RVI>Sig),Bull put spread,Mean reversion zóna (%B<30)
2026-02-04T16:41:48.858334,OTEX,22.45,21.17,23.41,24.09,0.75:1,🚀 STRONG BUY,Mean Reversion (Hunt),Low %B (RVI>Sig),Bull put spread,Mean reversion zóna (%B<30)
2026-02-04T18:55:23.267241,CVX,182.08,176.71,184.81,188.51,0.51:1,⚠️ RIZIKO / BLOKUJ BUY,Risk/Exit,Vysoké %B,Zatvoriť/hedge,Vyšší %B/exit – covered call alebo collar
2026-02-06T17:25:43.534619,ACM,98.65,97.17,100.13,102.13,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T17:35:17.712918,HPQ,19.63,19.34,19.92,20.32,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:36:02.861143,HPQ,19.63,19.34,19.92,20.32,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:36:23.989626,AVGO,321.21,316.39,326.03,332.55,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:37:03.741486,GEV,759.96,748.56,771.36,786.79,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:37:42.269636,ACM,98.65,97.17,100.13,102.13,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:38:11.021581,ACM,98.65,97.17,100.13,102.13,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:38:39.381374,ITRI,102.43,100.89,103.97,106.05,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:39:03.060991,ITRI,102.43,100.89,103.97,106.05,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T18:39:25.685422,QCOM,135.79,133.75,137.83,140.58,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T19:49:26.535922,BLK,1049.91,1034.16,1065.66,1086.97,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T19:51:53.865042,PLTR,136.46,134.41,138.51,141.28,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T19:53:19.081695,PFE,27.14,26.73,27.55,28.10,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T19:53:55.137961,FCNCA,2176.43,2143.78,2209.08,2253.26,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-06T19:57:25.098772,LLY,1043.15,1027.50,1058.80,1079.97,1.00:1,—,PMCC (Poor Man's Covered Call),—,PMCC,—
2026-02-09T17:12:33.534394,PYPL,41.22,37.77,41.37,56.66,0.04:1,Sledovať rezistenciu,Watch & Wait,Hold • Bear • %B 34%,Bear call spread,BEAR trend – hrať rezistenciu
